alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.85,3,H,29.546276,0.750427,4247072915
0.85,3,N,29.546276,1.02615,19322592165
0.85,4,H,32.280903,0.731907,4216409674
0.85,4,N,32.280903,1.00429,18581579603
0.85,5,H,34.803981,0.739209,4252838109
0.85,5,N,34.803981,0.952798,18304290126
0.85,6,H,37.177171,0.735754,4200472862
0.85,6,N,37.177171,0.921965,17506270144
0.85,7,H,39.437611,0.743005,4307281605
0.85,7,N,39.437611,0.963524,17751828550
0.85,8,H,41.609641,0.75117,4285461578
0.85,8,N,41.609641,0.918441,17094421351
0.85,9,H,43.710253,0.740112,4335937599
0.85,9,N,43.710253,0.952097,16890986352
0.85,10,H,45.751878,0.760091,4423298074
0.85,10,N,45.751878,0.938028,17030381276
0.85,11,H,47.743905,0.750988,4451960532
0.85,11,N,47.743905,0.957165,16711216843
0.85,12,H,49.693621,0.761984,4509061571
0.85,12,N,49.693621,0.940849,16483635645
0.9,1,H,30.229893,0.973835,6160359096
0.9,1,N,30.229893,1.59972,29499734438
0.9,2,H,35.776066,0.835063,5077114728
0.9,2,N,35.776066,1.26404,25189837273
0.9,3,H,40.303167,0.804515,5072846406
0.9,3,N,40.303167,1.15469,24121854611
0.9,4,H,44.2791,0.784092,4714378249
0.9,4,N,44.2791,1.07492,22016513154
0.9,5,H,47.896911,0.775712,4694149110
0.9,5,N,47.896911,1.10537,21350148832
0.9,6,H,51.25856,0.791742,4839391462
0.9,6,N,51.25856,1.04777,21126055064
0.9,7,H,54.425411,0.77601,4739472197
0.9,7,N,54.425411,1.03039,20543833058
0.9,8,H,57.438219,0.771365,4693341231
0.9,8,N,57.438219,1.02151,19553985302
0.9,9,H,60.325248,0.768067,4827819223
0.9,9,N,60.325248,1.08727,20088325711
0.9,10,H,63.10721,0.771843,4781640536
0.9,10,N,63.10721,1.03831,19357363296
0.9,11,H,65.799755,0.777302,4860218681
0.9,11,N,65.799755,1.03733,19172347239
0.9,12,H,68.415151,0.791737,5010106831
0.9,12,N,68.415151,1.03951,19287758489
0.95,1,H,50.839173,1.18283,8638544599
0.95,1,N,50.839173,2.04984,42419267120
0.95,2,H,62.018987,0.974013,6797351583
0.95,2,N,62.018987,1.6132,35831115864
0.95,3,H,70.936841,0.900434,6300951433
0.95,3,N,70.936841,1.55001,32926913511
0.95,4,H,78.633758,0.914803,5822484711
0.95,4,N,78.633758,1.35063,30131605291
0.95,5,H,85.536093,0.875892,5622800944
0.95,5,N,85.536093,1.308,27874593937
0.95,6,H,91.86738,0.844749,5719743859
0.95,6,N,91.86738,1.22849,27396364924
0.95,7,H,97.763796,0.831022,5584180705
0.95,7,N,97.763796,1.23239,26395982033
0.95,8,H,103.313825,0.834702,5548629318
0.95,8,N,103.313825,1.24372,25658507674
0.95,9,H,108.580275,0.845774,5746607713
0.95,9,N,108.580275,1.42532,25813335495
0.95,10,H,113.608376,0.834492,5482529662
0.95,10,N,113.608376,1.19253,23880595859
0.95,11,H,118.433269,0.832235,5633563753
0.95,11,N,118.433269,1.31987,23621505991
0.95,12,H,123.081058,0.867956,5802403073
0.95,12,N,123.081058,1.28981,23927303119
1.0,1,H,414.834382,3.83454,16447494738
1.0,1,N,414.834382,8.21922,81119554007
1.0,2,H,646.489642,2.90553,12979375193
1.0,2,N,646.489642,4.29025,68471281916
1.0,3,H,815.211199,1.52769,10833814109
1.0,3,N,815.211199,3.10252,64327805600
1.0,4,H,944.3153,2.68816,10277278308
1.0,4,N,944.3153,3.99527,56637375701
1.0,5,H,1046.818801,1.26447,8490334120
1.0,5,N,1046.818801,1.947,46865828922
1.0,6,H,1130.133704,1.34001,8712495380
1.0,6,N,1130.133704,2.55672,52137819778
1.0,7,H,1198.752053,1.12523,7614090787
